,sample,piece,field,analysis,Host,Length,Width,Phases,VL (%),VV (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Hmg Mode,salinity(NaCleq wt%),salChen(NaCleq wt%),salBod(NaCleq%)
1,BU18FA22,A,FF1,1,quartz,9.1,7.4,L - V,75.0,25.0,-57.45304156443802,-62.88040598110951,,,,,,,,
2,BU18FA22,A,FF1,2,quartz,9.8,7.8,L - V,72.0,28.0,,,,,,,,,,
3,BU18FA22,A,FF2,1,quartz,24.8,13.3,L - V,73.0,27.0,-61.943362152341535,-72.91496344977325,-25.437852380886877,-18.954633432404492,0.7942489029726162,,,14.700079752584513,14.690849879115234,21.65231599894902
4,BU18FA22,A,FF2,2,quartz,13.8,8.9,L - V,80.0,20.0,,-24.592817005317904,-24.592817005317904,-16.00771329167391,,,,,,19.452390501732303
5,BU18FA22,A,FF2,3,quartz,14.1,10.2,L - V,77.0,23.0,-57.65040027049881,-26.66508341895611,-26.66508341895611,-16.698468762886645,0.3730593113709553,,,15.187212177357607,15.188781141793557,19.99209019039021
6,BU18FA22,A,FF2,4,quartz,23.2,21.0,L - V,74.0,26.0,-58.651881763112016,-73.71289808958647,-24.73965957105031,-11.075028864248978,0.49502341304266007,,,15.047481224720926,15.045914695592117,15.048785363431207
7,BU18FA22,A,FF2,5,quartz,16.8,13.4,L - V,74.0,26.0,,-25.57961053562181,-25.57961053562181,-14.527522996218048,1.5572115477356443,,,13.783840214602542,13.755529469394036,18.238400557703606
8,BU18FA22,A,FF3b,1,quartz,23.0,11.4,L - V,72.0,28.0,,-25.776969241682593,-25.776969241682593,-15.514316526521956,,,,,,19.056759019009284
9,BU18FA22,A,FF3b,2,quartz,16.5,11.0,L - V,75.0,25.0,,-27.257159537138453,-27.257159537138453,-13.047332700762187,-1.6992071022672504,,,17.406997602105168,17.459694243819907,16.937102876945744
10,BU18FA22,A,FF3b,3,quartz,15.5,13.1,L - V,73.0,27.0,,-25.18489312350025,-25.18489312350025,-15.711675232582737,1.5572115477356443,,,13.783840214602542,13.755529469394036,19.216056895938316
