#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-0.793193 ... 1.73091
#X (µm)=	-11.607 ... -9.60704
#Generated=	29.03.2022 09:29:34
103.656	1279.48
108.278	1044.34
112.899	866.902
117.517	722.377
122.131	599.227
126.744	496.602
131.355	411.994
135.964	341.597
140.571	282.658
145.173	235.426
149.776	198.534
154.375	169.317
158.973	147.687
163.566	130.859
168.159	115.94
172.75	100.305
177.339	84.4534
181.923	70.6678
186.507	58.1687
191.089	53.0085
195.668	52.0298
200.243	45.8524
204.818	39.0839
209.391	29.7625
213.96	20.4097
218.528	12.108
223.094	7.21609
227.655	5.32289
232.217	9.54953
236.776	18.4925
241.331	31.4837
245.886	44.8674
250.439	54.1838
254.987	53.9739
259.535	47.6187
264.081	36.2385
268.622	25.5831
273.164	20.179
277.703	38.1918
282.238	72.6869
286.773	106.115
291.305	111.612
295.833	92.8744
300.362	65.0756
304.885	43.4102
309.409	28.3882
313.93	19.854
318.448	16.4252
322.965	19.0899
327.477	27.2083
331.99	38.4917
336.5	49.1206
341.007	57.2053
345.513	62.6299
350.014	66.0472
354.516	67.7972
359.013	66.734
363.51	62.1473
368.005	54.8351
372.496	45.9695
376.987	39.5646
381.473	34.4137
385.96	31.225
390.442	28.545
394.923	26.619
399.401	25.6617
403.879	23.6539
408.352	20.7139
412.825	17.9863
417.294	16.8192
421.763	16.1223
426.227	15.6669
430.692	14.4455
435.152	13.0806
439.612	11.0734
444.068	9.14418
448.524	8.07212
452.976	7.60598
457.427	7.34494
461.874	7.28608
466.32	7.58366
470.765	7.45075
475.205	6.72246
479.646	7.36384
484.083	9.30443
488.519	12.9756
492.951	18.4715
497.381	25.2787
501.811	30.4618
506.237	33.58
510.663	32.442
515.084	27.9204
519.504	23.2155
523.923	18.3677
528.338	14.1883
532.753	10.7963
537.164	8.51518
541.572	7.02726
545.981	6.38787
550.385	6.43963
554.788	6.86673
559.19	7.34893
563.588	7.93713
567.986	8.5303
572.38	9.65604
576.771	10.8847
581.163	13.4916
585.551	18.0563
589.936	24.9811
594.319	31.4134
598.702	35.3722
603.081	35.7598
607.458	32.8958
611.835	28.4696
616.208	24.1181
620.578	20.4318
624.949	17.4469
629.315	15.7308
633.68	14.9455
638.042	14.1563
642.404	13.3724
646.762	12.6854
651.118	13.0798
655.472	14.7022
659.825	18.7333
664.175	25.5173
668.523	33.8146
672.868	41.4229
677.213	47.9476
681.555	51.1136
685.894	50.3123
690.231	45.4373
694.566	35.7091
698.901	26.4252
703.232	18.5745
707.561	12.2838
711.888	8.19179
716.212	5.58115
720.537	4.60548
724.858	4.7161
729.176	5.17643
733.493	5.86081
737.807	5.81796
742.119	6.02515
746.432	6.54393
750.74	6.15929
755.046	5.48977
759.35	5.45916
763.652	6.75486
767.952	10.9732
772.25	18.4161
776.546	27.5309
780.842	41.1107
785.133	51.6187
789.423	54.4
793.711	49.5509
797.997	39.1492
802.28	28.0121
806.562	19.1565
810.841	12.2276
815.119	8.42136
819.394	6.71299
823.668	6.84597
827.941	7.47412
832.211	7.59685
836.478	7.90243
840.743	7.79082
845.006	8.10708
849.268	7.33164
853.527	6.47969
857.784	5.94688
862.039	5.38821
866.293	4.39674
870.544	3.35817
874.793	2.17525
879.04	1.80547
883.285	2.67619
887.528	3.22714
891.769	4.005
896.008	4.30517
900.246	4.48862
904.481	4.7562
908.714	4.83391
912.945	4.66182
917.174	4.36461
921.401	3.79916
925.626	2.8346
929.849	2.31371
934.068	3.64414
938.287	6.42008
942.504	9.82666
946.72	14.1887
950.933	18.2376
955.144	20.9645
959.353	22.0291
963.56	21.0628
967.765	18.4106
971.968	15.3859
976.17	12.8668
980.367	10.871
984.564	9.85358
988.759	9.92661
992.953	9.42996
997.144	9.03878
1001.33	7.57042
1005.52	6.23609
1009.71	5.67567
1013.89	5.73711
1018.07	6.58648
1022.25	7.62288
1026.43	8.08083
1030.6	8.29518
1034.78	8.74258
1038.94	10.1732
1043.11	13.4571
1047.28	21.4189
1051.45	30.4967
1055.61	43.3204
1059.77	56.1585
1063.93	57.7074
1068.09	49.8546
1072.25	39.1017
1076.4	29.616
1080.55	25.7652
1084.7	25.8082
1088.85	31.6318
1092.99	39.3577
1097.14	47.6458
1101.28	54.3225
1105.42	58.3526
1109.56	61.1549
1113.69	63.6413
1117.83	66.2988
1121.96	67.6643
1126.09	68.3238
1130.22	68.2367
1134.35	68.0227
1138.47	67.4818
1142.59	64.6806
1146.71	60.3945
1150.83	55.7288
1154.95	51.6402
1159.06	49.147
1163.18	48.5241
1167.29	47.6461
1171.4	45.6775
1175.5	42.9158
1179.61	38.5101
1183.71	32.7993
1187.81	26.799
1191.91	21.1011
1196.01	17.6342
1200.1	15.2958
1204.2	14.2155
1208.29	14.2391
1212.38	15.9756
1216.47	19.4906
1220.55	23.9345
1224.64	28.4935
1228.72	32.2025
1232.8	36.4226
1236.88	40.075
1240.95	44.7627
1245.03	51.6429
1249.1	61.2164
1253.17	76.2581
1257.24	101.131
1261.31	128.529
1265.37	134.767
1269.44	134.593
1273.5	210.714
1277.56	699.125
1281.61	1034.73
1285.67	746.446
1289.72	232.082
1293.77	118.031
1297.83	86.9665
1301.87	69.5813
1305.92	60.392
1309.96	54.478
1314.01	51.5019
1318.05	50.1299
1322.09	49.352
1326.12	48.8071
1330.16	48.37
1334.19	47.6253
1338.22	46.9922
1342.25	46.1835
1346.28	46.4751
1350.3	48.7794
1354.33	53.9972
1358.35	63.7587
1362.37	77.331
1366.39	106.651
1370.4	130.263
1374.42	146.437
1378.43	399.485
1382.44	1342.23
1386.45	1766.72
1390.46	1072.1
1394.46	277.603
1398.46	178.081
1402.47	174.216
1406.46	179.728
1410.46	147.318
1414.46	97.5798
1418.45	72.0007
1422.45	55.4116
1426.43	42.697
1430.42	35.0603
1434.41	29.0906
1438.39	25.1349
1442.38	22.2975
1446.36	19.6961
1450.34	17.4809
1454.31	15.0934
1458.29	13.9005
1462.27	13.0932
1466.24	11.9579
1470.21	11.0085
1474.18	10.3119
1478.14	9.26682
1482.11	8.4114
1486.07	8.07525
1490.03	8.35043
1493.99	8.67068
1497.95	9.51524
1501.9	10.3077
1505.86	10.4759
1509.81	10.2713
1513.76	9.92414
1517.71	9.1155
