#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-5.8414 ... -3.3173
#X (µm)=	4.39296 ... 6.39296
#Generated=	29.03.2022 09:29:06
103.656	11.3454
108.278	5.66936
112.899	24.6647
117.517	33.4058
122.131	32.9201
126.744	91.1619
131.355	267.915
135.964	424.946
140.571	404.136
145.173	170.403
149.776	41.8504
154.375	32.4071
158.973	52.1121
163.566	83.9544
168.159	187.97
172.75	214.995
177.339	136.243
181.923	78.1141
186.507	87.6547
191.089	133.078
195.668	175.349
200.243	160.627
204.818	114.154
209.391	77.0271
213.96	50.4992
218.528	33.947
223.094	25.8518
227.655	27.272
232.217	34.9989
236.776	49.7032
241.331	68.6471
245.886	88.3513
250.439	114.653
254.987	137.563
259.535	145.727
264.081	138.972
268.622	161.887
273.164	212.5
277.703	254.756
282.238	399.75
286.773	807.516
291.305	1411.92
295.833	1565.36
300.362	1152.53
304.885	847.857
309.409	704.295
313.93	586.827
318.448	493.894
322.965	418.914
327.477	341.116
331.99	272.796
336.5	222.305
341.007	184.07
345.513	155.896
350.014	142.479
354.516	142.324
359.013	148.365
363.51	149.958
368.005	140.749
372.496	136.285
376.987	142.055
381.473	154.106
385.96	169.888
390.442	187.599
394.923	203.496
399.401	214.52
403.879	219.421
408.352	217.816
412.825	208.946
417.294	193.202
421.763	171.146
426.227	142.789
430.692	108.134
435.152	67.0135
439.612	34.127
444.068	12.482
448.524	2.37464
452.976	1.67223
457.427	10.8268
461.874	25.8663
466.32	44.287
470.765	65.5274
475.205	88.5569
479.646	114.56
484.083	140.253
488.519	162.22
492.951	176.926
497.381	176.17
501.811	158.287
506.237	131.479
510.663	100.509
515.084	71.7375
519.504	48.4962
523.923	30.3923
528.338	19.3001
532.753	13.2276
537.164	10.1618
541.572	9.535
545.981	9.13336
550.385	8.46214
554.788	7.1804
559.19	7.54241
563.588	9.0339
567.986	11.9662
572.38	23.1037
576.771	36.9579
581.163	44.3623
585.551	88.3753
589.936	218.808
594.319	445.185
598.702	580.258
603.081	439.627
607.458	277.251
611.835	181.086
616.208	131.344
620.578	117.773
624.949	148.476
629.315	194.455
633.68	290.163
638.042	502.693
642.404	798.53
646.762	842.175
651.118	490.056
655.472	223.117
659.825	106.031
664.175	83.8991
668.523	86.5711
672.868	91.3552
677.213	94.6318
681.555	89.8825
685.894	81.0578
690.231	68.5808
694.566	51.7621
698.901	33.8933
703.232	17.7085
707.561	5.82078
711.888	0.42197
716.212	1.36374
720.537	4.40758
724.858	8.70234
729.176	14.0131
733.493	17.9315
737.807	19.7882
742.119	19.2357
746.432	16.7285
