#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-10.8896 ... -8.3655
#X (µm)=	-8.60704 ... -6.60704
#Generated=	29.03.2022 09:29:50
103.656	445.466
108.278	372.007
112.899	320.416
117.517	291.026
122.131	264.006
126.744	233.276
131.355	189.705
135.964	150.735
140.571	116.494
145.173	90.2981
149.776	69.7826
154.375	64.2718
158.973	63.4844
163.566	74.2756
168.159	83.5569
172.75	84.0849
177.339	64.9651
181.923	39.7557
186.507	22.4113
191.089	15.3575
195.668	12.2379
200.243	15.2312
204.818	15.6481
209.391	14.7061
213.96	14.5963
218.528	12.4354
223.094	13.3003
227.655	15.6324
232.217	22.328
236.776	34.8528
241.331	48.1581
245.886	68.5038
250.439	85.5175
254.987	100.063
259.535	106.63
264.081	89.087
268.622	61.2431
273.164	38.416
277.703	28.5938
282.238	58.4406
286.773	112.071
291.305	116.779
295.833	95.0747
300.362	59.986
304.885	46.7754
309.409	42.4364
313.93	46.5194
318.448	54.1186
322.965	66.0989
327.477	82.1746
331.99	101.457
336.5	120.811
341.007	137.191
345.513	149.501
350.014	159.705
354.516	164.917
359.013	165.226
363.51	158.359
368.005	143.686
372.496	125.88
376.987	109.31
381.473	97.4828
385.96	90.1081
390.442	86.3374
394.923	90.8601
399.401	94.0015
403.879	93.6724
408.352	80.5556
412.825	65.0736
