#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 20 points
#Y (µm)=	6.77912 ... 10.5653
#X (µm)=	3.39296 ... 7.39296
#Generated=	29.03.2022 09:38:49
103.656	3.3835
108.278	23.2569
112.899	44.4775
117.517	56.2748
122.131	63.0856
126.744	68.2071
131.355	73.0338
135.964	77.6471
140.571	82.6124
145.173	88.7188
149.776	93.0734
154.375	78.5796
158.973	57.4675
163.566	130.137
168.159	295.336
172.75	607.834
177.339	756.744
181.923	528.801
186.507	338.714
191.089	238.873
195.668	183.936
200.243	147.806
204.818	126.729
209.391	119.572
213.96	141.688
218.528	195.216
223.094	243.15
227.655	215.254
232.217	172.708
236.776	172.755
241.331	194.117
245.886	234.638
250.439	368.933
254.987	554.287
259.535	610.91
264.081	371.214
268.622	150.241
273.164	92.3214
277.703	147.956
282.238	355.3
286.773	625.912
291.305	643.255
295.833	451.931
300.362	250.147
304.885	164.368
309.409	129.263
313.93	121.794
318.448	136.937
322.965	179.06
327.477	238.782
331.99	326.286
336.5	384.822
341.007	388.996
345.513	366.322
350.014	336.216
354.516	365.177
359.013	395.746
363.51	351.156
368.005	283.108
372.496	221.931
376.987	183.62
381.473	167.175
385.96	167.446
390.442	180.74
394.923	208.8
399.401	242.303
403.879	231.179
408.352	152.817
412.825	85.4578
417.294	49.8261
421.763	38.7548
426.227	35.768
430.692	34.6551
435.152	28.7445
439.612	25.3884
444.068	25.42
448.524	30.7691
452.976	40.0512
457.427	51.6132
461.874	65.3453
466.32	80.5342
470.765	98.2321
475.205	122.454
479.646	150.021
484.083	170.583
488.519	175.019
492.951	170.204
497.381	175.411
501.811	181.965
506.237	184.114
510.663	161.589
515.084	122.307
519.504	78.6878
523.923	40.8435
528.338	15.5509
532.753	4.42273
537.164	4.33633
541.572	10.7343
545.981	18.5599
550.385	24.5375
554.788	27.889
559.19	29.1334
563.588	30.5626
567.986	34.9378
572.38	46.2413
576.771	60.6194
581.163	87.7866
585.551	134.496
589.936	200.788
594.319	280.32
598.702	336.159
603.081	378.188
607.458	407.165
611.835	422.742
616.208	443.032
620.578	452.228
624.949	388.59
629.315	276.533
633.68	180.643
638.042	122.755
642.404	96.6572
646.762	91.2514
651.118	97.3803
655.472	113.479
659.825	137.849
664.175	168.353
668.523	200.767
672.868	229.796
677.213	250.215
681.555	248.616
685.894	225.742
690.231	187.769
694.566	139.759
698.901	92.6825
703.232	56.6111
707.561	32.5671
711.888	18.5818
716.212	11.5635
720.537	7.85972
724.858	6.15951
729.176	5.29469
733.493	4.16342
737.807	2.59069
742.119	0.910594
746.432	0.276545
750.74	1.46936
755.046	7.38439
759.35	19.3582
763.652	36.9299
767.952	62.9069
772.25	98.2536
776.546	151.502
780.842	230.985
785.133	329.396
789.423	345.582
793.711	285.194
797.997	189.481
802.28	119.87
806.562	74.9682
810.841	44.9188
815.119	27.2941
819.394	17.9949
823.668	12.7146
827.941	9.40908
832.211	7.92879
836.478	6.58985
840.743	5.41208
845.006	4.98372
849.268	4.95501
853.527	4.98284
857.784	5.51791
862.039	6.48915
866.293	7.71035
870.544	9.88579
874.793	12.6775
879.04	15.4928
883.285	18.4273
887.528	21.1306
891.769	22.4486
896.008	22.7584
900.246	22.6393
904.481	22.2396
908.714	21.5619
912.945	20.91
917.174	19.9602
921.401	19.3331
925.626	19.5273
929.849	21.8757
934.068	27.5668
938.287	38.0316
942.504	53.8477
946.72	73.2131
950.933	96.1891
955.144	117.716
959.353	138.303
963.56	151.921
967.765	150.062
971.968	148.278
976.17	165.427
980.367	219.045
984.564	363.106
988.759	630.733
992.953	849.057
997.144	766.746
1001.33	504.291
1005.52	295.576
1009.71	191.064
1013.89	145.468
1018.07	125.676
1022.25	138.069
1026.43	172.992
1030.6	227.615
1034.78	308.974
1038.94	442.248
1043.11	635.897
1047.28	859.168
1051.45	918.966
1055.61	815.347
1059.77	686.645
1063.93	560.598
1068.09	465.646
1072.25	389.186
1076.4	341.723
1080.55	322.167
1084.7	321.263
1088.85	338.866
1092.99	379.943
1097.14	431.432
1101.28	453.705
1105.42	452.203
1109.56	447.157
1113.69	445.379
1117.83	445.84
1121.96	444.94
1126.09	442.908
1130.22	438.766
1134.35	446.841
1138.47	465.506
1142.59	463.403
1146.71	404.619
1150.83	323.228
1154.95	283.996
1159.06	276.974
1163.18	281.69
1167.29	279.051
1171.4	262.576
1175.5	234.807
1179.61	202.692
1183.71	166.458
1187.81	128.418
1191.91	94.753
1196.01	71.7992
1200.1	56.3877
1204.2	48.2614
1208.29	44.7163
1212.38	44.5955
1216.47	48.393
1220.55	56.4353
1224.64	67.5647
